a_term	b_term	len(a_b_intersect)	len(a_term_set)	len(b_term_set)	n_articles	pmid_intersection	pvalue	run_time	sort_ratio
rac3	grip1	13	222	335	33810017	{12481024, 12805412, 12650696, 19305643, 16423883, 14560019, 12351636, 11388694, 10906038, 12009019, 16189181, 11250942, 10713439}	2.4978187858620567e-45	0.0014822049997746944	0.03880597014925373
duoxa2	slc26a4	13	111	860	33810017	{32805706, 31751626, 32319661, 31301652, 25231445, 31650902, 33653783, 32459320, 33832185, 27525530, 35060923, 28648508, 30154845}	5.104001976906088e-44	0.0015903119929134846	0.015116279069767442
ppp2cb	ppp2ca	9	36	93	33810017	{33270085, 8383590, 16293127, 18536936, 25628439, 27784696, 21998041, 31258652, 30679389}	5.6913988049034306e-43	0.0014556138776242733	0.0967741935483871
lpl	trib1	18	6820	204	33810017	{20864672, 20160193, 34890852, 21386085, 21589926, 25205864, 25176936, 22511882, 30420299, 26582766, 18193043, 24916532, 24981077, 18596051, 29800275, 26780889, 28128572, 21303902}	7.7929504783052e-42	0.0013677719980478287	0.08823529411764706
spata2	cyld	10	25	693	33810017	{34610306, 34075523, 27307491, 27591049, 31762063, 28189684, 27545878, 28282038, 27458237, 28701375}	4.0069296028791943e-41	0.0022555780597031116	0.01443001443001443
fcer1a	ms4a2	9	103	55	33810017	{18595682, 16293125, 27746735, 31293618, 30362198, 18834360, 22686937, 24639354, 23529663}	1.0029436262582276e-40	0.0012491741217672825	0.16363636363636364
dnajb1	hspb1	12	161	682	33810017	{27273088, 17688187, 34369377, 34721539, 30412487, 30133257, 34392171, 24345775, 22477622, 20556630, 33879515, 19333787}	1.708288418308113e-39	0.0014210049994289875	0.017595307917888565
cd3eap	ercc1	11	29	2341	33810017	{29093733, 26681190, 30453383, 27183913, 24140460, 21989229, 22335888, 17131345, 23180017, 29620255, 19257887}	5.91897418330621e-39	0.002092869020998478	0.004698846646732166
cass4	clu	10	32	1009	33810017	{30906402, 28199971, 29379882, 27005436, 25311924, 24829845, 31561366, 25188341, 28984604, 24951455}	3.454727464319034e-38	0.001463046995922923	0.009910802775024777
cdk16	ccny	8	49	62	33810017	{22184064, 30411496, 30992425, 22895054, 32401167, 32723157, 26305884, 30830908}	3.6003584984844707e-38	0.0013909421395510435	0.12903225806451613
cldn5	cldn6	9	152	83	33810017	{21115905, 31115553, 33002540, 30863148, 32170581, 15908185, 31934042, 31084603, 17828607}	1.9365167428671106e-37	0.0012759799137711525	0.10843373493975904
frzb	wif1	11	223	358	33810017	{22378497, 25890345, 30006924, 15858124, 26520883, 24635637, 26470681, 24376796, 19515997, 30123421, 29129759}	2.1199633132151843e-37	0.0015000768471509218	0.030726256983240222
ipo8	pgk1	10	53	808	33810017	{24859296, 26124453, 27339468, 24457517, 17188656, 32439920, 21806841, 22926970, 29036603, 22775998}	1.1194162122014922e-36	0.0018981099128723145	0.012376237623762377
c1ql2	c1ql3	6	13	20	33810017	{28219683, 34293414, 27845167, 20525073, 27133466, 25752542}	3.2059764452456124e-35	0.0012400499545037746	0.3
flrt3	flrt2	7	54	45	33810017	{19635589, 34301831, 10644439, 16872596, 21673655, 14688794, 21350012}	8.019989796670428e-34	0.001297876937314868	0.15555555555555556
gpr161	tulp3	7	60	46	33810017	{26190144, 30578315, 24917297, 27932497, 23332756, 26305592, 34462398}	2.06283263374804e-33	0.0012055570259690285	0.15217391304347827
napepld	naaa	7	30	149	33810017	{27262886, 29542183, 30145543, 30232874, 31878942, 32286386, 27552286}	5.695943552741584e-32	0.0014839030336588621	0.04697986577181208
cdh12	cdh10	6	34	36	33810017	{33833667, 30342662, 22765916, 26081465, 26666204, 28559998}	1.2626557038907434e-30	0.0012936610728502274	0.16666666666666666
akr7a2	akr7a3	6	46	32	33810017	{35065925, 22545673, 18416522, 31529389, 33036882, 10383892}	4.091299339997902e-30	0.0012329558376222849	0.1875
stac2	stac	6	13	132	33810017	{25548159, 29363593, 30201773, 20736085, 29467163, 29078335}	5.4153603868189235e-30	0.0013511530123651028	0.045454545454545456
sept5	sept3	6	64	25	33810017	{21767234, 17564677, 15107017, 18809578, 31089837, 15485489}	6.399994427983703e-30	0.0011594791430979967	0.24
stx6	eif2ak3	7	48	224	33810017	{23300100, 33897612, 23116876, 24503276, 29986742, 26413239, 21685912}	3.751917706754704e-29	0.0020972031634300947	0.03125
magec2	magea3	6	33	70	33810017	{17023585, 35142951, 28342986, 18426187, 16929165, 24021875}	6.999505459206358e-29	0.0013185970019549131	0.08571428571428572
cyp4x1	cyp2s1	6	30	78	33810017	{20716162, 26095139, 15752708, 23274569, 24255117, 16527260}	7.350984859013678e-29	0.0012076201383024454	0.07692307692307693
prdm13	ptf1a	7	38	319	33810017	{34730112, 30470852, 28863786, 24370451, 23639443, 29258872, 25995483}	7.85942341178854e-29	0.0015717379283159971	0.0219435736677116
suclg1	tymp	7	69	186	33810017	{19748572, 22215558, 23385875, 33486010, 28215579, 20448188, 21234878}	1.4672832523149593e-28	0.0012905101757496595	0.03763440860215054
fgd3	fgd1	6	25	113	33810017	{21212517, 20045932, 10721717, 18410521, 31934236, 18363964}	2.1566834763205734e-28	0.0015718829818069935	0.05309734513274336
tjp2	nr1h4	7	73	189	33810017	{32124521, 35184362, 30266155, 30366773, 35070006, 30148122, 31183005}	2.482998398730541e-28	0.001665971940383315	0.037037037037037035
gtf2h5	ercc3	6	19	174	33810017	{30580289, 30359777, 22234153, 25620205, 18470933, 28913623}	4.619991239540729e-28	0.001314257038757205	0.034482758620689655
mkx	egr1	9	71	2155	33810017	{28266660, 35203717, 33510795, 25812847, 32558993, 31277043, 26794903, 34445689, 31692087}	1.2671226769529993e-27	0.002449215855449438	0.004176334106728539
dffa	dffb	6	133	32	33810017	{16156899, 25565258, 18500987, 17343828, 10830907, 12910269}	2.9946883033667208e-27	0.0013127990532666445	0.1875
gpam	acss2	7	133	146	33810017	{28831970, 33682250, 29250447, 26484979, 18671863, 34901115, 28407230}	3.008525335504051e-27	0.0013837581500411034	0.04794520547945205
gper	ctgf	15	908	4471	33810017	{25647524, 22552965, 27384677, 22430216, 22147081, 26281354, 23950890, 30728047, 21266576, 27607345, 30957588, 29758456, 23947803, 23748028, 30866584}	9.25903119281903e-27	0.0023312708362936974	0.0033549541489599644
eif2d	eif2a	6	28	201	33810017	{29487587, 35220421, 34226921, 32230899, 30659060, 28240315}	1.5423716862425068e-26	0.001511086942628026	0.029850746268656716
ube2d2	ube2n	6	58	108	33810017	{31120930, 19690564, 29626159, 24906799, 33280498, 19664694}	3.7327889844128227e-26	0.0013544519897550344	0.05555555555555555
wasl	cdc42	9	51	6768	33810017	{20071778, 25971815, 21652648, 31113848, 30390003, 18650806, 31727638, 27311480, 28681629}	1.550050839597166e-24	0.00333756604231894	0.0013297872340425532
alox12	aloxe3	6	168	69	33810017	{21316676, 25447821, 23475662, 23382512, 33061426, 34890228}	1.6481709288484997e-24	0.0022238900419324636	0.08695652173913043
batf2	batf3	6	62	277	33810017	{29587652, 26376615, 34723755, 22992524, 25957166, 23787991}	1.759785053647237e-23	0.0012548090890049934	0.021660649819494584
rock2	ang	19	953	19685	33810017	{23271052, 26652313, 28679962, 31828132, 26126628, 33360932, 22842919, 27432870, 29402797, 26562480, 30522551, 28135625, 32104271, 30108507, 19087721, 25309930, 23891689, 23044205, 28438902}	5.599024219750963e-23	0.018646877026185393	0.0009652019304038608
asl	cep152	8	4346	67	33810017	{24835456, 20852615, 30256714, 27185836, 21145741, 27206860, 18854586, 32409564}	4.79775284751246e-22	0.00419276999309659	0.11940298507462686
calca	esr1	9	177	3506	33810017	{18084163, 12794756, 15928902, 11895880, 16736496, 31400273, 11309301, 14736824, 24991551}	5.162511999896679e-22	0.001841855002567172	0.002567027952082145
arhgap42	rhoa	7	14	10800	33810017	{34232960, 29936709, 33909446, 31886719, 28112683, 24335996, 28584191}	1.160118043397179e-21	0.01178361615166068	0.0006481481481481481
cadps	caps	8	38	10025	33810017	{20826818, 28647363, 24363652, 26432644, 24356451, 16506193, 27528604, 26700319}	2.8907291191066242e-21	0.013505397830158472	0.0007980049875311721
atg16l1	actb	9	744	1228	33810017	{30196744, 31818185, 33280498, 30681394, 30208760, 35220892, 32866426, 30957628, 32097085}	1.9123077448033186e-20	0.002862685127183795	0.007328990228013029
chia	chi3l1	8	1149	611	33810017	{24440516, 23558346, 19644363, 20538957, 29233108, 27794455, 17709146, 27977724}	7.844422545346046e-19	0.0016373749822378159	0.01309328968903437
slc6a2	dbh	7	169	2787	33810017	{19212675, 30695556, 26216165, 20145962, 34573389, 20159345, 18821565}	1.747472098408398e-17	0.002027112990617752	0.002511661284535343
usp21	nanog	6	66	6029	33810017	{27886188, 29263917, 27956178, 29266131, 33021557, 29263902}	2.8873987378582464e-15	0.0026391688734292984	0.0009951899154088573
opcml	mgmt	6	91	4494	33810017	{16204069, 20112070, 21255913, 21577262, 27835605, 16764763}	3.628422105445903e-15	0.002469968982040882	0.0013351134846461949
klf10	smad7	6	172	2435	33810017	{20863814, 34754312, 17931948, 22234868, 29198712, 29458012}	4.520210134023498e-15	0.001890864921733737	0.0024640657084188913
